Company Common Name;Country of Headquarters;TRBC Business Sector Name;Current Ratio;debt to asset ratio ;equity to asset ratio ;debt to equity ratio ;Roa return on asset ;roe return on equity ;long term coverage ratio;asset turnover rate 
Assystem SA;France;Industrial & Commercial Services;1,54001;0,015209125;1,65356992;0,5074093;1,707224335;1,707224335;109,7777778;1,669623997
MBB SE;Germany;Banking & Investment Services;3,01613;0,098539192;0,686553444;1,114693865;0,011059382;0,011059382;9,716210679;0,957427553
Thermador Groupe SA;France;Industrial Goods;2,53527;0,12708457;0,97831686;0,555105938;0,135435753;0,135435753;10,87336528;1,381836951
SLM Solutions Group AG;Germany;Industrial Goods;7,30923;0,531310809;0,699716756;1,022666509;-0,028098962;-0,028098962;1,166520546;0,619784975
Muehlbauer Holding AG;Germany;Industrial Goods;1,68707;0;1,081640734;0,54875146;0,175082141;0,175082141;#DIV/0!;1,723399241
Aliaxis SA;Belgium;Cyclical Consumer Products;Unable to collect data for the field 'TR.CurrentRatio' and some specific identifier(s).;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!
Deceuninck NV;Belgium;Cyclical Consumer Products;1,94756;0,469014411;0,922923256;1,190382082;0,045066987;0,045066987;5,302178258;2,486798011
Maschinenfabrik Berthold Hermle AG;Germany;Industrial Goods;2,78614;0;0,934438162;0,392401492;0,288498841;0,288498841;#DIV/0!;1,581734912
Synergie SE;France;Industrial & Commercial Services;1,44182;0,04442146;0,621131667;1,232003326;0,116532118;0,116532118;76,29476864;3,38912505
Corporacion Empresarial de Materiales de Construccion SA;Spain;Cyclical Consumer Products;1,30493;0,006560643;0,385600934;4,797879922;0,296946381;0,296946381;0;0
SMT Scharf AG;Germany;Mineral Resources;3,18382;0,030158012;0,870819187;0,483654474;0,071188047;0,071188047;30,90397007;0,932002298
Precia SA;France;Industrial Goods;1,84753;0,204629071;0,745684086;1,088628901;0,076228328;0,076228328;7,461695731;1,526879868
Homag Group AG;Germany;Industrial Goods;0,52063;0;1,074957832;1,885952414;0,690503704;0,690503704;#DIV/0!;0,179052977
OHB SE;Germany;Industrial Goods;1,4175;0,063342837;0,390776613;2,835709451;0,048641151;0,048641151;27,15506017;1,720078559
Gerard Perrier Industrie SA;France;Industrial Goods;1,8567;0,117073341;0,586767299;1,218337085;0,111459352;0,111459352;14,22645477;1,665538584
Elecnor SA;Spain;Industrial & Commercial Services;1,1352;0,992195939;0,358697959;6,257131353;0,048755361;0,048755361;1,598329085;1,585855627
Avantium NV;Netherlands;Industrial & Commercial Services;10,61812;0;1,427052356;0,065995201;-0,15103181;-0,15103181;#DIV/0!;0,114012796
Delta Drone SA;France;Industrial Goods;1,46376;0,198546115;1,597455702;0,548729617;-1,512645767;-1,512645767;4,384439359;0,870513403
McPhy Energy SAS;France;Industrial Goods;1,63387;0,303748622;0,438189085;2,221890234;-0,459343991;-0,459343991;2,28561706;0,694253032
Catering International & Services SA;France;Industrial & Commercial Services;1,81306;0,060643331;0,488549139;1,333541594;0,038738116;0,038738116;37,21021466;2,256551365
Steico SE;Germany;Applied Resources;3,01123;0,950897006;1,688948218;0,855173243;0,160145818;0,160145818;2,540574922;2,415825087
Groupe Crit SA;France;Industrial & Commercial Services;1,15597;0,095829669;0,773841371;1,314377721;0,129463195;0,129463195;38,53130975;3,692442649
ECA SA;France;Technology Equipment;1,38388;0,057566654;0,673037927;1,25096245;-0,028144949;-0,028144949;18,50782779;1,065433721
Aves One AG;Germany;Banking & Investment Services;0,50687;7,162229368;0,415604083;22,39848846;-0,654002917;-0,654002917;0,139480368;0,99899039
Artefact SA;France;Cyclical Consumer Services;0,79552;0,021123529;0,486097614;2,747542622;-0,065354713;-0,065354713;31,8658147;0,673118454
Orege SA;France;Industrial & Commercial Services;1,15262;10,84001282;-9,485091375;-1,23914954;-4,371593459;-4,371593459;0,011446318;0,12407823
Gevelot SA;France;Industrial Goods;3,19391;0,038876389;0,76703276;0,492220194;0,007198603;0,007198603;9,054538096;0,352007741
Sixt Leasing SE;Germany;Banking & Investment Services;0,33402;2,790747287;0,974499686;6,034699977;0,099273999;0,099273999;1,266594934;3,534746375
Touax Sa Sgtr Cite Sgt Cmte Taf Slm Toua SCA;France;Transportation;0,67679;1,361932666;1,246016916;2,533372968;-0,199458234;-0,199458234;1,365229745;1,859350987
Installux SA;France;Cyclical Consumer Products;3,73667;0;0,986227009;0,298886982;0,0950675;0,0950675;#DIV/0!;1,354799249
DBT SA;France;Industrial Goods;1,74619;0,505020793;0,329242317;3,333333333;-0,034790547;-0,034790547;1,852379996;0,935490415
Balyo SA;France;Technology Equipment;2,53921;0,02815735;0,649514254;0,654138979;-0,211548415;-0,211548415;11,60152715;0,326668259
Elanix Biotechnologies AG;Germany;Pharmaceuticals & Medical Research;0,76347;0;12,67678101;0,398295423;-2,367761114;-2,367761114;#DIV/0!;0,179188375
Mynaric AG;Germany;Technology Equipment;18,01833;0;1,015847347;0,054633254;-0,234200195;-0,234200195;#DIV/0!;0,056882343
MS Industrie AG;Germany;Automobiles & Auto Parts;1,33685;0,365735221;0,705700447;1,687450504;0,087208147;0,087208147;8,51033991;3,112531048
Nicolas Correa SA;Spain;Industrial Goods;1,40623;0,126205623;1,154818094;0,850578798;0,065580018;0,065580018;13,56747967;1,712292222
Societe Marseillaise du Tunnel Prado Carenage SA;France;Industrial & Commercial Services;6,72734;0,388903395;1,656110289;0,355191007;0,395263017;0,395263017;2,700752973;1,050332002
Jensen Group NV;Belgium;Personal & Household Products & Services;2,09989;0,065067225;0,59965832;1,045724366;0,111632975;0,111632975;27,48236059;1,788200946
HMS Bergbau AG;Germany;Energy - Fossil Fuels;0,92932;0;0,139570507;9,218732357;0,022238847;0,022238847;#DIV/0!;6,828418544
Prodways Group SA;France;Industrial Goods;2,76415;0,049823902;1,350958754;0,353857206;-0,119151601;-0,119151601;10,93528118;0,544838381
Francotyp Postalia Holding AG;Germany;Industrial & Commercial Services;1,17602;0,493248111;0,376859485;4,151157499;0,053146118;0,053146118;4,783323288;2,359365174
Vergnet SA;France;Renewable Energy;0,88142;0,285277851;-0,442085857;-3,366376743;-0,241085067;-0,241085067;3,550221566;1,012799579
Exel Industries SA;France;Industrial Goods;2,02304;0,146373708;0,778366291;0,954415114;0,08416853;0,08416853;12,30232831;1,800737406
Agta Record AG;Switzerland;Cyclical Consumer Products;2,85643;4,98E-05;1,194258421;0,411275069;0,163699687;0,163699687;36700,3;1,825976417
Teixeira Duarte SA;Portugal;Industrial & Commercial Services;1,23414;0,540792961;0,278599868;5,242032723;-0,003524508;-0,003524508;1,533760999;0,829447152
Sogeclair SA;France;Industrial Goods;1,82491;0,144770018;0,448053561;1,904695927;0,052624542;0,052624542;9,719092229;1,40703316
DPA Group NV;Netherlands;Industrial & Commercial Services;0,79472;0,246517182;1,465649463;1,128691181;0,052381584;0,052381584;14,77491927;3,642271461
